from,to,weight
Platzeck ,11,1
Platzeck ,1,3
Pofalla,9,1
Pofalla,5,3
Praetorius,1,3
Praetorius,7,2
Tillich,9,1
Tillich,1,3
Hasselfeldt,10,2
Hasselfeldt,2,3
Kampeter,9,1
Kampeter ,2,2
Kapferer,NA,2
Kapferer,2,3
Kempf,2,3
Kempf,1,2
Nemat,5,3
Nemat,1,2
Reiche,9,1
Reiche,2,3
Röstel,12,1
Röstel,6,3
Schweitzer,NA,1
Schweitzer,2,3
Grothus,4,2
Grothus,1,2
Wodtke,9,2
Wodtke,4,2
Herntier,1,2
Herntier,8,3
Kreuzberg,9,2
Kreuzberg,8,2
Priggen,12,2
Priggen,6,3
Vassiliadis ,11,2
Vassiliadis ,3,3
Scheidt,11,2
Scheidt,3,3
Körzell,11,2
Körzell,3,3
Kaiser,4,3
Kaiser,1,2
Weiger,4,3
Weiger,1,2
Niebert,2,3
Niebert,1,2
Allmendinger,7,3
Allmendinger,1,2
Matthes,7,2
Matthes,1,2
Schellnhuber,7,3
Schellnhuber,1,2
Niebuhr,7,2
Niebuhr,1,2
Wehrspon,7,3
Wehrspon,1,2
Lämmel,9,3
Lämmel,1,1
Lenz,1,1
Lenz,10,3
Mirsch,11,3
Mirsch,1,1